Name,Car,Gender
Ryota Kinoshita,Nissan Sentra,Male
Yosuke Matsuda,Toyota Corolla,Male
Eiji Nishimura,Honda Insight,Male
Hiroaki Hara,Subaru Legacy,Male
Toshihiro Shibata,Mazda2,Male
Riku Takeda,Nissan Altima,Male
Keitaro Kaneko,Toyota Prius,Male
Takuya Kudo,Honda Clarity,Male
Kenjiro Taniguchi,Mitsubishi Mirage,Male
Naoki Sakai,Suzuki Swift,Male
Shoji Wada,Nissan Versa,Male
Katsuya Nakashima,Honda Fit,Male
Shuji Ohashi,Toyota Yaris,Male
Masahide Komatsu,Mazda CX-3,Male
Yuhei Kagawa,Subaru BRZ,Male
Haruhiko Fujimura,Nissan 370Z,Male
Tetsuya Nakamura,Mazda MX-5 Miata,Male
Hiroshi Tanaka,Honda Civic Type R,Male
Sho Sato,Mitsubishi Eclipse,Male
Yuji Suzuki,Toyota Chaser,Male
Kotaro Takahashi,Nissan Silvia S15,Male
Shinya Watanabe,Mazda 3 MPS,Male
Daichi Ito,Nissan Pulsar GTI-R,Male
Masaru Yamamoto,Honda Accord Type R,Male
Yuu Kato,Toyota GT86,Male
Hironobu Kobayashi,Lexus RC F,Male
Katsuhiro Sasaki,Mitsubishi Starion,Male
Shunsuke Yamada,Nissan Juke Nismo,Male
Toshiaki Kimura,Toyota Soarer,Male
Ryota Yoshida,Suzuki Cappuccino,Male
Keigo Matsui,Honda Integra Type R,Male
Yoshito Hayashi,Toyota Yaris GR,Male
Takumi Shimizu,Mazda RX-8,Male
Kenji Saito,Subaru SVX,Male
Hiroki Aoki,Mitsubishi Galant VR-4,Male
Sota Inoue,Toyota Crown,Male
Koji Fujimoto,Nissan Stagea,Male
Shuhei Nakagawa,Honda Fit RS,Male
Ryo Matsumoto,Daihatsu Copen,Male
Yuichiro Hashimoto,Lexus LS,Male
Takaharu Murakami,Nissan Cube,Male
Hiroto Kitamura,Toyota Prius (Modified for Racing),Male
